LoanID,CustomerName,Age,Gender,Region,EmploymentSector,MonthlyIncome,BranchID,OfficerID,ProductType,LoanAmount,InterestRate,CreditScoreAtOrigination,TermMonths,DisbursedDate
LN-108158,Dariusz Adeyemi,37,M,Birmingham,Public Sector,1158.0,BR003,OF008,Auto,5600.0,5.18,675,29,20/11/2024
LN-100351,Niamh Rahman,48,M,Liverpool,Salaried,2016.0,BR007,OF016,SME,34200.0,9.14,507,42,31/03/2024
LN-109704,Kasia Kelly,49,F,Bristol,Gig/Freelance,1836.0,BR006,OF007,SME,26000.0,8.53,515,41,2024-03-08
LN-113809,Wei Kaminski,58,M,LONDON,Salaried,3053.0,BR001,OF009,SME,24900.0,10.78,568,58,27/11/2023
LN-103366,Kwame Nwosu,33,F,Liverpool,Salaried,2849.0,BR007,OF002,Personal,19900.0,9.72,567,30,2024-12-02
LN-116196,Rhys Walsh,26,M,Liverpool,Public Sector,3168.0,BR007,OF022,Personal,17000.0,12.96,543,35,1 March 2024
LN-104104,Aisha Nwosu,39,F,liverpool,SELF-EMPLOYED,2157.0,BR007,OF002,Personal,14400.0,10.27,554,29,31 May 2024
LN-109868,Zara Rahman,42,F,Edinburgh,Self-Employed,2429.0,BR008,OF003,Personal,5500.0,14.79,541,23,2023-10-16
LN-113696,Grzegorz Kaminski,43,F,Sheffield,Self-Employed,1981.0,BR010,OF019,Mortgage,40000.0,3.04,591,193,2023-12-10
LN-115210,Dariusz Saleh,46,F,Birmingham,Public Sector,2227.0,BR003,OF010,Personal,10300.0,12.19,526,33,27/07/2024
LN-100385,Freya Khan,39,F,Sheffield,Public Sector,2073.0,BR010,OF034,Auto,7700.0,5.87,615,27,2024-06-18
LN-106024,Ceri Owusu,29,M,Liverpool,Salaried,3109.0,BR007,OF028,Personal,4600.0,9.82,698,27,2024-03-08
LN-103168,Emily Evans,40,F,Leeds,Gig/Freelance,1466.0,BR004,OF029,Personal,9000.0,14.16,999,21,2024-01-26
LN-102084,Omar Kowalski,50,M,Liverpool,Self-Employed,1977.0,BR007,OF027,SME,8200.0,11.73,700,55,21/10/2023
LN-103335,Damian Nowak,40,F,Bristol,Public Sector,2236.0,BR006,OF007,Auto,6700.0,6.5,660,24,1 October 2023
LN-115215,Damian Zielinski,36,M,Birmingham,Public Sector,1424.0,BR003,OF021,Personal,17700.0,9.56,600,34,2024-03-30
LN-116238,Fraser Choudhury,45,M,Leeds,Self-Employed,2566.0,BR004,OF029,Personal,25000.0,14.09,476,30,2024-08-24
LN-109936,Ewa Tanaka,21,M,Sheffield,Gig/Freelance,892.0,BR010,OF039,Personal,1900.0,9.81,714,12,25 December 2024
LN-117752,Imran Choudhury,34,F,Liverpool,Public Sector,1826.0,BR007,OF030,Mortgage,73600.0,3.18,580,189,22/03/2024
LN-109674,Aoife Adeyemi,27,M,Liverpool,Public Sector,1436.0,BR007,OF022,Personal,8800.0,9.5,585,26,19/10/2024
LN-107922,Niamh Begum,61,M,Sheffield,Self-Employed,1361.0,BR010,OF020,Personal,4700.0,9.95,670,31,27/12/2024
LN-111253,Wojciech Taylor,37,M,Birmingham,Public Sector,1697.0,BR003,OF008,SME,27200.0,9.08,665,38,2024-04-25
LN-115800,Rhys Osei,27,F,Sheffield,Gig/Freelance,3098.0,BR010,OF034,Personal,2600.0,12.65,531,14,12 November 2024
LN-110670,Priya Tanaka,41,M,Sheffield,Public Sector,3201.0,BR010,OF039,Personal,4000.0,12.17,568,15,2024-10-10
LN-106494,Anna Choudhury,24,M,Edinburgh,Public Sector,2637.0,BR008,OF006,Mortgage,40000.0,3.82,682,79,20/12/2023
LN-110564,Siobhan Adeyemi,49,F,Leeds,Gig/Freelance,1730.0,BR004,OF038  ,Personal,"£7,100",10.11,639,28,30 April 2024
LN-102677,Isla Choudhury,21,F,Bristol,Salaried,2190.0,BR006,OF032,Mortgage,164300.0,3.0,535,129,2023-11-14
LN-118710,Damian Zielinski,35,F,Glasgow,Salaried,1771.0,BR005,OF036,Mortgage,40000.0,5.23,562,79,29/10/2023
LN-103002,Aisha Wong,22,F,Leeds,Public Sector,1933.0,BR004,OF029,Auto,33200.0,6.2,481,31,31/10/2023
LN-118368,Mei Boateng,41,M,London,Self-Employed,1735.0,BR001,OF013,Auto,32200.0,5.7,677,43,2024-11-29
LN-103184,Amelia Taylor,36,M,Liverpool,Gig/Freelance,1880.0,BR007,OF001,Auto,6900.0,6.11,636,57,17/02/2024
LN-113265,Kofi Doyle,48,M,Sheffield,Self-Employed,5643.0,BR010,OF034,SME,15400.0,7.13,508,25,2024-04-13
LN-105999,Adaeze Zielinski,57,F,London,Public Sector,2156.0,BR001,OF009,Mortgage,40000.0,3.46,571,99,2024-06-13
LN-111720,Dariusz Asante,23,F,Glasgow,Gig/Freelance,1915.0,BR005,OF026,Personal,25000.0,11.25,514,27,2023-11-09
LN-106593,Emily Patel,47,M,Liverpool,Salaried,3871.0,BR007,OF027,SME,29400.0,11.16,714,47,10/12/2023
LN-117531,Dariusz Zhang,21,M,Manchester,Public Sector,1900.0,BR002,OF033  ,Mortgage,"£152,000",5.96,549,172,2024-02-14
LN-118080,Marta Khan,40,M,Leeds,Public Sector,1900.0,BR004,OF038,Mortgage,151400.0,3.8,659,280,2024-09-15
LN-113274,Leah Zhang,29,F,Bristol,Public Sector,2510.0,BR006,OF007,Personal,2900.0,12.98,579,18,2023-10-06
LN-111890,Chidinma Zielinski,43,F,Manchester,Gig/Freelance,3612.0, BR002 ,OF033,Personal,9800.0,9.41,567,20,27/11/2023
LN-108272,Omar Asante,30,F,Birmingham,Salaried,2176.0,BR003,OF010,Personal,13500.0,10.34,538,31,2024-03-18
LN-118004,Damian Liu,35,M,Sheffield,Self-Employed,3334.0,BR010,OF039,Personal,15700.0,11.51,607,28,2023-12-04
LN-104058,Emily Taylor,28,F,Birmingham,Salaried,1027.0,BR003,OF012,Auto,9300.0,5.81,602,31,2024-05-17
LN-106418,Arjun Doyle,28,M,BRISTOL,Public Sector,1017.0,BR006,OF007,Mortgage,40000.0,5.77,543,234,2024-03-19
LN-105345,Jack Diallo,41,F,Liverpool,Salaried,,BR007,OF002,Auto,"£12,000",7.74,647,25,5 August 2024
LN-116740,Thomas Kelly,47,M,Liverpool,Gig/Freelance,800.0,BR007,OF040,Personal,6800.0,13.72,376,21,28/07/2024
LN-118704,Mei Tanaka,46,M,Sheffield,Gig/Freelance,1240.0,BR010,OF039,SME,5900.0,11.24,545,55,5 December 2024
LN-115783,Isla Kowalski,23,F,London,Salaried,3378.0,BR001,OF013,Mortgage,79600.0,5.18,603,201,2024-10-27
LN-104625,Faisal Kowalski,38,M,Bristol,Gig/Freelance,2259.0,BR006,OF007,Auto,7100.0,9.39,566,37,15/10/2023
LN-112606,Cormac Rahman,46,F,Birmingham,Salaried,3313.0,BR003,OF012,Mortgage,46200.0,3.31,662,233,2024-04-15
LN-111345,Amelia Liu,31,M,Newcastle,gig/freelance,1063.0,BR009,OF035,Personal,13400.0,10.56,574,30,2023-11-06
LN-116676,Tanya Hassan,36,F,edinburgh,Salaried,2035.0,BR008,OF003  ,Mortgage,40000.0,5.77,548,133,2023-10-10
LN-103507,Jack Khan,32,M,Birmingham,Gig/Freelance,1400.0,BR003,OF031,Personal,7500.0,9.74,590,33,2024-04-24
LN-104345,Cormac Osei,48,F,Leeds,Salaried,2421.0,BR004,OF024,Personal,11700.0,11.48,636,35,27 January 2024
LN-104148,Kwame Okafor,35,F,London,Self-Employed,2013.0,BR001,OF023,SME,5000.0,6.76,617,26,27/07/2024
LN-107535,Raj Wallace,31,F,Liverpool,Salaried,2719.0,BR007,OF001,Personal,4900.0,8.79,623,22,22 November 2023
LN-101493,Grzegorz Zielinski,33,M,Birmingham,Self-Employed,2159.0,BR003,OF005,SME,15400.0,10.82,529,52,21 March 2024
LN-113462,Wojciech Kowalski,31,M,Liverpool,Salaried,1845.0,BR007,OF027,Mortgage,46800.0,5.98,444,261,11/12/2023
LN-102351,Sana Mensah,45,M,Sheffield,Public Sector,,BR010,OF034,Mortgage,40000.0,3.94,591,71,11 November 2023
LN-109398,Ewa Karimi,38,M,LIVERPOOL,Self-Employed,1429.0,BR007,OF022,Auto,3800.0,6.43,484,50,2024-12-13
LN-105163,Sana Karimi,25,M,Liverpool,Public Sector,2160.0,BR007,OF030,Mortgage,60300.0,3.95,528,87,25 November 2023
LN-109331,Tomasz Saleh,31,M,Liverpool,Self-Employed,1303.0,BR007,OF028,SME,"£14,500",11.24,-1,34,18 June 2024
LN-102754,Fraser Campbell,48,F,Birmingham,Self-Employed,1336.0, BR003 ,OF021,Mortgage,69300.0,5.08,642,296,16/05/2024
LN-118110,Ewa Begum,31,F,Leeds,Self-Employed,1354.0,BR004,OF025,Mortgage,40000.0,4.97,677,105,2024-12-27
LN-112959,Sana Owusu,47,M,Liverpool,Public Sector,1852.0,BR007,OF002,SME,20700.0,9.27,655,38,28 June 2024
LN-108239,Niamh Campbell,37,F,Liverpool,Public Sector,1438.0,BR007,OF016,Auto,4700.0,6.75,647,39,05/09/2024
LN-114058,Tomasz Zielinski,35,M,Glasgow,Self-Employed,1219.0,BR005,OF036,Personal,6500.0,14.98,606,23,11/12/2024
LN-101580,Isla Hussain,46,F,Birmingham,Public Sector,1817.0,BR003,OF010,Personal,7000.0,10.03,484,27,12 September 2024
LN-119878,Emily Wojcik,44,F,Birmingham,PUBLIC SECTOR,2058.0,BR003,OF010,Auto,18100.0,8.64,617,27,18/09/2024
LN-100718,Eilidh Campbell,57,M,Glasgow,Self-Employed,3280.0,BR005,OF014,Auto,33100.0,5.63,676,30,14/05/2024
LN-113894,Ceri Hussain,32,M,Liverpool,Salaried,2511.0,BR007,OF040,Auto,15200.0,6.59,580,39,2023-12-01
LN-116768,Imran Suzuki,38,M,Birmingham,Salaried,2273.0,BR003,OF005,Personal,"£8,900",14.62,676,15,11/10/2023
LN-104914,Oliver Owusu,27,F,Sheffield,self-employed,4920.0,BR010,OF015,Personal,19900.0,9.86,572,33,26/02/2024
LN-108248,Agnieszka Osei,39,M,LIVERPOOL,Salaried,1326.0,BR007,OF016,Auto,9200.0,8.18,637,24,07/08/2024
LN-103059,Cormac Diallo,56,F,Liverpool,Self-Employed,3407.0,BR007,OF028,SME,20400.0,8.7,607,36,02/11/2023
LN-118734,Mei Doyle,40,M,Liverpool,Self-Employed,2739.0,BR007,OF016,Auto,52000.0,6.65,581,43,28/11/2024
LN-103489,Aisha Lewandowski,36,F,Birmingham,Salaried,2439.0,BR003,OF031,Mortgage,62000.0,5.31,552,290,2024-11-11
LN-105022,Arjun Walsh,35,M,Liverpool,Gig/Freelance,939.0,BR007,OF040,Personal,4300.0,13.37,514,27,23 May 2024
LN-112004,Adaeze Abara,27,M,Glasgow,Self-Employed,3422.0,BR005,OF026,Auto,10500.0,8.12,610,43,24/11/2024
LN-105771,Aoife Nwosu,46,M,Bristol,Self-Employed,2937.0,BR006,OF037,SME,10000.0,11.29,590,33,16/10/2024
LN-109683,Thomas Wojcik,42,M,Manchester,Salaried,2934.0,BR002,OF033,Mortgage,161900.0,3.09,566,166,26/12/2024
LN-119225,Jun Zhang,47,M,Newcastle,Gig/Freelance,3936.0,BR009,OF035,Personal,16600.0,12.56,550,16,2023-11-14
LN-109243,Raj Hussain,30,F,Bristol,Salaried,1222.0,BR006,OF032,Personal,8900.0,14.3,703,34,2024-03-13
LN-106248,Kofi Owusu,21,M,Edinburgh,Salaried,3228.0,BR008,OF003,Personal,10600.0,9.86,554,25,2024-08-17
LN-109317,Marcus Murray,37,M,Liverpool,Public Sector,2281.0,BR007,OF022,Personal,4800.0,10.1,618,33,19/02/2024
LN-117893,Aisha Begum,47,M,Liverpool,Salaried,1700.0,BR007,OF001  ,Mortgage,40000.0,4.19,603,174,06/12/2024
LN-112140,Wei Nowak,37,M,Liverpool,Public Sector,1230.0,BR007,OF040,Mortgage,40000.0,4.26,544,199,05/11/2023
LN-103702,Jun Abara,32,F,Bristol,Self-Employed,2772.0,BR006,OF037,Personal,7800.0,10.44,636,31,2024-09-22
LN-118724,Tanya Wong,39,M,Leeds,Public Sector,4041.0, BR004 ,OF024,Mortgage,70600.0,5.06,620,125,2024-01-12
LN-109791,Mei Mensah,26,F,Leeds,Salaried,3826.0,BR004,OF025,Mortgage,75100.0,5.73,679,245,31 January 2024
LN-100503,Aoife Asante,37,M,Bristol,Public Sector,1349.0,BR006,OF007,Mortgage,40000.0,3.2,586,199,2024-05-21
LN-117403,Siobhan Byrne,40,M,Liverpool,Self-Employed,2667.0,BR007,OF001,SME,18700.0,9.22,647,48,2024-07-12
LN-103795,Kwame Patel,35,F,Glasgow,Public Sector,1616.0,BR005,OF026,Auto,5500.0,5.5,530,50,04/08/2024
LN-100803,Fatima Suzuki,56,F,Liverpool,Public Sector,2094.0,BR007,OF028,SME,20400.0,8.71,575,35,08/07/2024
LN-101730,Femi Patel,26,M,Sheffield,Self-Employed,961.0,BR010,OF020  ,SME,8100.0,8.73,571,45,18/08/2024
LN-107306,Dariusz Karimi,45,M,Sheffield,Salaried,5459.0,BR010,OF019,Auto,27200.0,5.42,665,40,01/11/2023
LN-114197,Oliver Liu,29,M,Leeds,Salaried,2793.0,BR004,OF025,SME,5000.0,6.38,583,24,6 July 2024
LN-105908,Damian Hassan,41,M,Newcastle,Public Sector,2594.0,BR009,OF018,Personal,8300.0,9.5,580,18,27/06/2024
LN-107646,Piotr Wallace,45,M,Liverpool,Salaried,1840.0,BR007,OF016  ,SME,"£29,800",7.51,499,48,17/10/2023
LN-103222,Anna Murray,39,M,Bristol,Salaried,2687.0,BR006,OF007,Auto,38000.0,7.98,568,40,29/02/2024
LN-113761,Marta Smith,33,F,Bristol,Gig/Freelance,1898.0,BR006,OF037,Personal,21000.0,10.97,556,29,29 June 2024
LN-116504,Agnieszka Okafor,43,F,Birmingham,Self-Employed,800.0,BR003,OF012,SME,5000.0,11.86,627,57,25/12/2024
LN-104013,Isla Nowak,23,M,Birmingham,Public Sector,1756.0,BR003,OF021,Auto,20400.0,9.48,615,55,16/12/2024
LN-118168,Harry Choudhury,47,F,Sheffield,Self-Employed,1079.0,BR010,OF015,Auto,19800.0,9.15,582,57,2024-09-10
LN-112310,Thomas Sheikh,24,F,Sheffield,Gig/Freelance,800.0,BR010,OF039,Personal,6200.0,8.96,517,15,24/08/2024
LN-113864,Noor Mensah,41,M,Leeds,Salaried,2612.0,BR004,OF029  ,Personal,5700.0,11.06,533,33,22 November 2023
LN-119812,Harry Okafor,38,F,Sheffield,Public Sector,2281.0,BR010,OF039,Mortgage,"£40,200",5.48,551,213,2024-10-08
LN-119419,Jun Saleh,48,M,Sheffield,Public Sector,2518.0,BR010,OF019,Personal,6600.0,9.83,644,15,2024-07-08
LN-107139,Anna Iqbal,25,F,Manchester,Gig/Freelance,2020.0,BR002,OF033,Personal,5700.0,10.79,594,17,2023-10-18
LN-101006,Kwame Wong,38,M,Liverpool,Gig/Freelance,2101.0,BR007,OF030  ,Personal,6200.0,11.76,619,29,2024-10-24
LN-107110,Agnieszka Tanaka,43,M,Birmingham,Public Sector,1808.0,BR003,OF031,Personal,"£7,200",9.77,621,30,27/06/2024
LN-117306,Niamh Zhang,43,F,Liverpool,Gig/Freelance,800.0,BR007,OF001,SME,6000.0,7.08,579,25,1 January 2024
LN-109389,Ceri Walsh,33,M,Newcastle,Public Sector,1720.0,BR009,OF018  ,Auto,8200.0,5.15,605,56,2023-11-29
LN-100812,Amelia Tanaka,58,F,Birmingham,SALARIED,2652.0,BR003,OF021,SME,"£70,300",6.12,560,44,13/05/2024
LN-111149,Eilidh Abara,37,M,Newcastle,Salaried,1810.0, BR009 ,OF035,Mortgage,40000.0,3.98,594,155,2024-01-12
LN-113740,Wei Wojcik,32,M,Edinburgh,Self-Employed,1165.0,BR008,OF003,SME,13900.0,6.56,647,32,01/06/2024
LN-117803,Jack Campbell,45,F,Bristol,Salaried,3151.0,BR006,OF037,Auto,43000.0,9.47,635,59,2024-10-06
LN-117098,Kwame Karimi,21,F,Birmingham,Public Sector,1614.0,BR003,OF012,Auto,10100.0,8.26,570,59,2024-07-12
LN-109568,Imran Abara,36,F,Liverpool,Public Sector,1331.0,BR007,OF027,Mortgage,40000.0,5.88,549,106,2024-07-02
LN-107911,Ewa Walsh,47,M,Birmingham,Gig/Freelance,870.0,BR003,OF005  ,Personal,11800.0,10.58,535,33,27/04/2024
LN-111934,Kwame Okafor,38,F,London,Salaried,2098.0,BR001,OF013,SME,7800.0,7.87,596,52,26/10/2024
LN-100218,Priya Diallo,50,M,Glasgow,Salaried,1571.0,BR005,OF004,Personal,23100.0,8.36,465,30,31/10/2024
LN-102968,Chidinma Rahman,23,M,Newcastle,PUBLIC SECTOR,1502.0,BR009,OF035,Auto,"£10,200",9.53,614,56,17/05/2024
LN-101087,Imran Liu,23,M,Liverpool,Self-Employed,1665.0,BR007,OF040,Auto,24100.0,6.53,617,52,2024-04-22
LN-101052,Cormac Hassan,45,M,London,Salaried,2435.0,BR001,OF013,Auto,10800.0,9.39,585,28,22 June 2024
LN-110301,Aisha Adeyemi,26,F,Birmingham,Gig/Freelance,2234.0,BR003,OF012,Auto,17900.0,9.53,604,29,2024-06-28
LN-111006,Marta Nowak,34,M,Liverpool,Public Sector,2155.0,BR007,OF016,Personal,13600.0,9.6,618,34,14 September 2024
LN-113590,Siobhan Lewandowski,34,F,Liverpool,Salaried,1034.0,BR007,OF040,Personal,7500.0,9.74,569,16,20/04/2024
LN-103926,Harry Wong,43,F,Glasgow,Self-Employed,6181.0,BR005,OF014,Personal,"£25,000",10.34,572,22,18/10/2024
LN-103922,Anna Smith,30,M,Birmingham,Public Sector,3107.0,BR003,OF012,Personal,8600.0,9.68,701,32,2023-12-14
LN-113903,Ling Sheikh,56,F,Glasgow,Public Sector,2297.0,BR005,OF014,Auto,60000.0,7.04,999,55,03/08/2024
LN-106677,Zara Karimi,39,M,Glasgow,Public Sector,2169.0,BR005,OF026,Mortgage,67800.0,4.53,627,246,2024-01-07
LN-119011,Grzegorz Campbell,45,M,Newcastle,SALARIED,5481.0,BR009,OF018,Mortgage,187300.0,3.43,512,216,2024-12-07
LN-117690,Mei Wallace,49,M,Liverpool,Gig/Freelance,1032.0,BR007,OF016,SME,5000.0,10.07,656,36,21/04/2024
LN-118841,Cormac Tanaka,35,F,Liverpool,Salaried,3374.0,BR007,OF040,Personal,"£21,500",10.59,605,25,04/10/2023
LN-117109,Chidinma Kaminski,43,M,leeds,PUBLIC SECTOR,2228.0,BR004,OF024,Mortgage,40000.0,4.44,596,256,3 July 2024
LN-106682,Cormac Begum,35,M,Birmingham,Salaried,2081.0,BR003,OF008  ,Auto,13300.0,7.11,660,43,2024-03-24
LN-115884,Shanice Wong,30,F,liverpool,Gig/Freelance,829.0,BR007,OF022,Personal,1600.0,10.11,623,26,21 March 2024
LN-108618,Yusuf Abara,43,M,Birmingham,Salaried,2697.0,BR003,OF012,Personal,18800.0,14.67,624,16,29/11/2024
LN-106490,Rhys Osei,47,F,SHEFFIELD,Public Sector,2588.0,BR010,OF019,SME,"£30,700",7.95,477,30,18/06/2024
LN-109838,Aoife Nwosu,43,M,london,Salaried,2902.0,BR001,OF023,Auto,9100.0,6.15,-1,57,2024-02-17
LN-106385,Jun Ahmed,33,F,Bristol,Salaried,2301.0,BR006,OF032,Mortgage,"£57,300",4.12,650,97,30/10/2023
LN-107068,Fraser Evans,45,M,Sheffield,Public Sector,1520.0,BR010,OF034,Auto,21700.0,5.91,475,46,1 April 2024
LN-113229,Noor Wong,45,F,Liverpool,Gig/Freelance,,BR007,OF028,Auto,7100.0,5.79,502,24,2024-02-02
LN-119459,Rhys Liu,59,M,Leeds,Gig/Freelance,1965.0,BR004,OF038,Personal,13400.0,8.43,685,34,18/01/2024
LN-109982,Oliver Osei,40,M,Newcastle,Public Sector,1624.0,BR009,OF035,SME,10000.0,9.83,554,43,12 March 2024
LN-119689,Adaeze Zhang,32,F,Liverpool,Public Sector,1238.0,BR007,OF030,Mortgage,40000.0,5.09,690,94,2024-05-17
LN-109249,Hana Zhang,38,M,Edinburgh,Gig/Freelance,2047.0,BR008,OF006,Personal,25000.0,8.87,538,33,2024-04-16
LN-113999,Rhys Adeyemi,45,M,Leeds,Self-Employed,973.0,BR004,OF024,SME,5000.0,9.67,597,36,25 October 2024
LN-102864,Kofi Zielinski,37,F,Manchester,Self-Employed,3476.0,BR002,OF033,Auto,8600.0,8.62,690,30,15/06/2024
LN-101870,George Murray,59,M,London,Public Sector,1900.0,BR001,OF023  ,Personal,19200.0,10.86,493,26,08/02/2024
LN-114457,Niamh Sheikh,54,F,Leeds,Salaried,2693.0,BR004,OF038  ,Mortgage,185000.0,5.62,568,136,2024-01-31
LN-105371,Anna Smith,43,F,Glasgow,Public Sector,1734.0,BR005,OF036,Mortgage,40000.0,5.52,555,105,2024-12-12
LN-117034,Dariusz Smith,21,M,Birmingham,Self-Employed,1838.0,BR003,OF021,SME,12400.0,8.84,571,56,11/07/2024
LN-107316,Adaeze Walsh,42,M,NEWCASTLE,Salaried,2006.0,BR009,OF035,Personal,10000.0,14.02,569,21,2024-04-24
LN-115284,Layla Lewandowski,28,F,Birmingham,Salaried,1939.0,BR003,OF012,Mortgage,45900.0,4.9,765,223,11/03/2024
LN-100856,Declan Owusu,25,F,Newcastle,Public Sector,2062.0,BR009,OF035,Mortgage,133600.0,5.04,537,189,01/03/2024
LN-115695,Kwame Al-Farsi,51,M,Sheffield,Public Sector,1479.0,BR010,OF034,Personal,2400.0,9.25,682,22,2024-03-16
LN-102876,Omar Liu,26,M,Leeds,Public Sector,958.0,BR004,OF038,Personal,1100.0,13.5,526,15,20 February 2024
LN-105143,Ceri Zielinski,21,M,Liverpool,Gig/Freelance,1442.0,BR007,OF027,SME,9300.0,11.81,561,58,2024-06-04
LN-109966,Ewa Hassan,30,M,Birmingham,Public Sector,2374.0,BR003,OF010,SME,25200.0,9.85,590,45,2024-10-08
LN-108213,Imran Abara,59,M,Birmingham,Public Sector,2246.0,BR003,OF010,Personal,12200.0,8.78,495,31,20 October 2024
LN-106084,Noor Saleh,52,M,Edinburgh,Public Sector,1948.0,BR008,OF003  ,Personal,3700.0,8.79,541,23,30/08/2024
LN-117479,Declan Mensah,28,F,Manchester,Salaried,1068.0,BR002,OF033,SME,10900.0,8.6,591,56,25 January 2024
